scope,author_id,work_id,doi,title_slug,reason
global,,,,"the-cretaceous-limestone-producing-areas-of-the-mara-and-maracaibo-districts-venezuela-reservoir-and-production-engineering-1951",test exclude
global,,W4409556117,10.21203/rs.3.rs-6244542/v1,,Preprint duplication
global,,W4389164736,,,Invalid year (0) record
global,,W3157724657,,,Exclude 1905 record from stats
global,,W4416939443,,,Unknown author record
global,,W2413169760,,,Unknown author record
global,,W4389164736,,,Unknown author record
global,,W3157724657,,,Unknown author record
global,,W4415957094,,,Unknown author record
global,,W4414580606,,,Unknown author record
global,,W4414226868,,,withdrawn
global,,W4408434241,,,withdrawn
global,,W4392600402,,,withdrawn
