work_id,doi,author_openalex_id,program,first_author_last_name,all_authors,title,publication_date,year,venue,citations,coauthor_openalex_ids
https://openalex.org/W4399880781,https://doi.org/10.1016/j.rser.2024.114646,A5000180362,,Zhou,Xianmin Zhou; Yu‐Shu Wu; Chen Hao; Mahmoud Elsayed; Wei Yü; Xinrui Zhao; Mobeen Murtaza; Muhammad Shahzad Kamal; Sarmad Zafar Khan; Ridha Al-Abdrabalnabi; Bo Ren,Review of Carbon dioxide utilization and sequestration in depleted oil reservoirs,2024-06-21,2024,Renewable and Sustainable Energy Reviews,43,A5081101199|A5047861147|A5100734575|A5085377966|A5090708979|A5076721417|A5075168324|A5084940954|A5018001631|A5011725938
https://openalex.org/W4400465895,https://doi.org/10.1080/15583724.2024.2373925,A5000180362,,Salam,Abdul Salam; Bidoor Alsaif; Syed Muhammad Shakil Hussain; Sarmad Zafar Khan; Muhammad Shahzad Kamal; Shirish Patil; Emad W. Al-Shalabi; Anas M. Hassan,Advances in Understanding Polymer Retention in Reservoir Rocks: A Comprehensive Review,2024-07-09,2024,Polymer Reviews,15,A5053194350|A5068349769|A5022552999|A5084940954|A5061769780|A5044402103|A5017288943
https://openalex.org/W4387523417,https://doi.org/10.1021/acs.energyfuels.3c02446,A5000180362,,Deng,Xiao Deng; Xianmin Zhou; Shirish Patil; Ridha Al-Abdrabalnabi; Sarmad Zafar Khan; Murtada Saleh Aljawad; Mohamed Mahmoud; Muslim Abdurrahman; Muhammad Shahzad Kamal,Multiphase Flow Dynamics with Micro-CT Imaging: Review of Applications in Oil and Gas Industry,2023-10-11,2023,Energy & Fuels,13,A5077726394|A5081101199|A5005252413|A5018001631|A5002974432|A5049649985|A5060494162|A5084940954
https://openalex.org/W4220790844,https://doi.org/10.3390/ma15072527,A5000180362,,Khan,Sarmad Zafar Khan; Afeez Gbadamosi; Kion Norrman; Xianmin Zhou; Syed Muhammad Shakil Hussain; Shirish Patil; Muhammad Shahzad Kamal,Adsorption Study of Novel Gemini Cationic Surfactant in Carbonate Reservoir Cores—Influence of Critical Parameters,2022-03-30,2022,Materials,22,A5044382284|A5060497833|A5081101199|A5022552999|A5005252413|A5084940954
https://openalex.org/W2983343083,https://doi.org/10.2118/197940-ms,A5000180362,,Ahmad,Hafiz Mudaser Ahmad; Muhammad Shahzad Kamal; Mobeen Murtaza; Sarmad Zafar Khan; Mamdouh A. Al‐Harthi,Alteration of Wettability and Hydration Properties of Shale using Ionic Liquids in Water-Based Drilling Fluids,2019-11-08,2019,,18,A5008727239|A5084940954|A5075168324|A5045863680
https://openalex.org/W4393261038,https://doi.org/10.46690/ager.2024.04.05,A5000180362,,Zhou,Xianmin Zhou; Wei Yü; Gang Lei; Sarmad Zafar Khan; Ridha Al-Abdrabainabi; Muhammad Shahzad Kamal; Yu‐Shu Wu,Experimental study on dual benefits of improvement of CO2 enhanced oil recovery and its storage capacity for depleted carbonate oil reservoirs,2024-03-22,2024,ADVANCES IN GEO-ENERGY RESEARCH,16,A5081101199|A5090708979|A5024463161|A5094268022|A5084940954|A5047861147
https://openalex.org/W4395083509,https://doi.org/10.2118/218882-ms,A5000180362,,Mahboob,Ahmad Mahboob; Anas M. Hassan; Sarmad Zafar Khan; Anoo Sebastian; Muhammad Mushtaq; Emad W. Al-Shalabi; Mursal Zeynalli,Experimental Studies of Sulfonated Polymer Adsorption in Carbonates Under Challenging Conditions,2024-04-09,2024,SPE Western Regional Meeting,3,A5066251556|A5017288943|A5009804210|A5103138073|A5044402103|A5038609391
https://openalex.org/W4323308459,https://doi.org/10.2118/213591-ms,A5000180362,,Zhou,Xianmin Zhou; Wei Yü; Yu‐Shu Wu; Ridha Al-Abdrabalnabi; Sarmad Zafar Khan; Muhammad Shahzad Kamal; Mahmoud Elsayed,Dynamic Characteristics of Supercritical CO2 Injection in Depleted Carbonate Oil Reservoir for its Sequestration Potential: An Experimental Study,2023-03-07,2023,,4,A5081101199|A5090708979|A5047861147|A5018001631|A5084940954|A5085377966
https://openalex.org/W3203845624,https://doi.org/10.2118/205749-ms,A5000180362,,Zhou,Xianmin Zhou; Ridha Al-Abdrabalnabi; Sarmad Zafar Khan; Muhammad Shahzad Kamal,"Interrelationship of Capillary Number, Interfacial Tension, Injection Flow Rate and Temperature by Surfactant Flooding for Oil-wet Carbonate Reservoirs",2021-10-04,2021,,2,A5081101199|A5018001631|A5084940954
https://openalex.org/W4376566215,https://doi.org/10.2118/212992-ms,A5000180362,,Zhou,Xianmin Zhou; Wei Yü; Mahmoud Elsayed; Ridha Al-Abdrabalnabi; Yu‐Shu Wu; Sarmad Zafar Khan; Muhammad Shahzad Kamal,Experimental Study on Supercritical CO2 Enhanced Oil Recovery and its Sequestration Potential with Different injection Modes for Carbonate Oil Reservoirs Under Reservoir Conditions,2023-05-15,2023,SPE Western Regional Meeting,2,A5081101199|A5090708979|A5085377966|A5018001631|A5047861147|A5084940954
